m/z,with sulfur,without sulfur
60,2.18E-09,3.07E-11
60.1,1.86E-09,3.32E-11
60.2,1.47E-09,2.98E-11
60.3,3.35E-10,2.45E-11
60.4,2.91E-11,9.67E-12
60.5,1.83E-11,4.36E-12
60.6,4.24E-11,6.38E-12
60.7,8.35E-11,1.06E-11
60.8,1.26E-10,1.47E-11
60.9,1.52E-10,1.98E-11
61,1.77E-10,2.23E-11
61.1,1.72E-10,2.43E-11
61.2,1.47E-10,2.12E-11
61.3,8.06E-11,1.75E-11
61.4,2.79E-11,7.57E-12
61.5,3.36E-11,3.97E-12
61.6,8.15E-11,3.63E-12
61.7,1.58E-10,7.27E-12
61.8,2.17E-10,9.23E-12
61.9,2.55E-10,1.08E-11
62,2.79E-10,1.13E-11
62.1,2.58E-10,1.23E-11
62.2,2.12E-10,1.06E-11
62.3,9.60E-11,9.51E-12
62.4,1.57E-11,5.73E-12
62.5,5.08E-12,3.56E-12
62.6,6.51E-12,2.81E-12
62.7,1.17E-11,4.07E-12
62.8,1.74E-11,4.28E-12
62.9,2.13E-11,4.74E-12
63,2.34E-11,4.18E-12
63.1,2.57E-11,4.81E-12
63.2,2.47E-11,4.79E-12
63.3,1.88E-11,3.56E-12
63.4,1.74E-11,2.97E-12
63.5,3.53E-11,3.60E-12
63.6,8.91E-11,5.96E-12
63.7,1.59E-10,1.02E-11
63.8,2.18E-10,1.12E-11
63.9,2.54E-10,1.30E-11
64,2.76E-10,1.42E-11
64.1,2.41E-10,1.43E-11
64.2,1.93E-10,1.36E-11
64.3,7.00E-11,9.22E-12
64.4,1.25E-11,4.33E-12
64.5,3.59E-12,3.18E-12
64.6,5.45E-12,2.26E-12
64.7,7.04E-12,3.88E-12
64.8,1.24E-11,3.21E-12
64.9,1.62E-11,2.80E-12
65,1.61E-11,3.65E-12
65.1,1.58E-11,4.04E-12
65.2,1.37E-11,4.64E-12
65.3,8.71E-12,4.51E-12
65.4,4.44E-12,3.27E-12
65.5,5.89E-12,3.46E-12
65.6,1.19E-11,3.59E-12
65.7,1.97E-11,3.27E-12
65.8,2.80E-11,3.24E-12
65.9,3.41E-11,3.79E-12
66,3.77E-11,4.72E-12
66.1,3.84E-11,4.79E-12
66.2,3.08E-11,4.01E-12
66.3,1.48E-11,4.28E-12
66.4,4.37E-12,3.56E-12
66.5,2.73E-12,3.32E-12
66.6,1.97E-12,3.54E-12
66.7,3.45E-12,3.32E-12
66.8,4.82E-12,3.66E-12
66.9,5.93E-12,4.54E-12
67,7.10E-12,5.55E-12
67.1,6.14E-12,6.66E-12
67.2,5.02E-12,6.19E-12
67.3,5.43E-12,4.69E-12
67.4,4.06E-12,4.13E-12
67.5,3.31E-12,3.29E-12
67.6,2.38E-12,2.66E-12
67.7,3.62E-12,3.31E-12
67.8,4.13E-12,3.96E-12
67.9,5.72E-12,3.94E-12
68,8.27E-12,5.38E-12
68.1,6.37E-12,5.38E-12
68.2,5.79E-12,5.56E-12
68.3,4.72E-12,4.90E-12
68.4,3.80E-12,4.06E-12
68.5,3.41E-12,4.41E-12
68.6,4.47E-12,5.98E-12
68.7,6.95E-12,1.06E-11
68.8,1.29E-11,1.45E-11
68.9,1.48E-11,1.86E-11
69,1.98E-11,2.05E-11
69.1,2.00E-11,2.30E-11
69.2,1.72E-11,2.33E-11
69.3,1.28E-11,1.75E-11
69.4,6.38E-12,9.33E-12
69.5,2.55E-12,4.15E-12
69.6,2.63E-12,3.47E-12
69.7,4.02E-12,3.62E-12
69.8,5.82E-12,5.03E-12
69.9,6.47E-12,6.25E-12
70,8.60E-12,8.50E-12
70.1,8.21E-12,9.48E-12
70.2,3.40E-12,8.82E-12
70.3,5.28E-12,7.73E-12
70.4,4.34E-12,6.74E-12
70.5,2.58E-12,4.46E-12
70.6,1.78E-12,3.15E-12
70.7,3.16E-12,3.89E-12
70.8,5.88E-12,5.23E-12
70.9,7.56E-12,5.73E-12
71,9.35E-12,6.38E-12
71.1,9.72E-12,8.53E-12
71.2,1.13E-11,8.28E-12
71.3,1.01E-11,7.76E-12
71.4,5.86E-12,4.87E-12
71.5,2.42E-12,3.27E-12
71.6,3.03E-12,2.95E-12
71.7,4.71E-12,4.50E-12
71.8,4.91E-12,5.55E-12
71.9,6.70E-12,6.26E-12
72,9.35E-12,7.66E-12
72.1,8.80E-12,8.38E-12
72.2,7.89E-12,7.11E-12
72.3,5.93E-12,7.45E-12
72.4,4.14E-12,5.79E-12
72.5,3.11E-12,4.61E-12
72.6,4.25E-12,3.33E-12
72.7,7.79E-12,4.00E-12
72.8,1.20E-11,6.93E-12
72.9,1.66E-11,9.46E-12
73,2.11E-11,8.71E-12
73.1,2.08E-11,1.17E-11
73.2,1.89E-11,1.01E-11
73.3,1.51E-11,1.03E-11
73.4,8.44E-12,7.11E-12
73.5,3.16E-12,5.01E-12
73.6,2.87E-12,2.95E-12
73.7,4.54E-12,3.69E-12
73.8,7.31E-12,4.39E-12
73.9,8.40E-12,7.38E-12
74,1.01E-11,8.30E-12
74.1,1.02E-11,7.67E-12
74.2,8.24E-12,7.49E-12
74.3,6.30E-12,5.72E-12
74.4,3.13E-12,4.93E-12
74.5,3.26E-12,4.05E-12
74.6,5.45E-12,4.07E-12
74.7,9.02E-12,2.32E-12
74.8,1.41E-11,3.30E-12
74.9,1.94E-11,3.80E-12
75,2.39E-11,5.73E-12
75.1,2.73E-11,5.64E-12
75.2,2.67E-11,4.28E-12
75.3,2.80E-11,4.16E-12
75.4,3.76E-11,3.91E-12
75.5,9.19E-11,3.08E-12
75.6,2.83E-10,2.97E-12
75.7,5.27E-10,2.66E-12
75.8,7.10E-10,2.69E-12
75.9,8.07E-10,3.65E-12
76,9.01E-10,3.77E-12
76.1,7.97E-10,4.72E-12
76.2,6.29E-10,4.53E-12
76.3,2.31E-10,4.45E-12
76.4,3.63E-11,4.11E-12
76.5,6.46E-12,3.46E-12
76.6,7.44E-12,3.59E-12
76.7,1.61E-11,3.63E-12
76.8,2.21E-11,2.34E-12
76.9,2.71E-11,2.88E-12
77,3.46E-11,4.32E-12
77.1,3.41E-11,4.13E-12
77.2,2.99E-11,4.82E-12
77.3,2.01E-11,4.04E-12
77.4,1.05E-11,3.73E-12
77.5,1.19E-11,3.55E-12
77.6,3.00E-11,3.29E-12
77.7,6.47E-11,3.30E-12
77.8,9.20E-11,3.97E-12
77.9,1.16E-10,3.23E-12
78,1.30E-10,3.94E-12
78.1,1.29E-10,4.64E-12
78.2,1.06E-10,4.90E-12
78.3,6.44E-11,4.49E-12
78.4,2.14E-11,3.83E-12
78.5,7.72E-12,3.63E-12
78.6,1.03E-11,3.59E-12
