Wavenumber (1/cm),With sulfur,without sulfur
863.485,98.0905,98.7455
863.967,98.0134,98.7604
864.449,97.9365,98.7754
864.932,97.8597,98.7904
865.414,97.7833,98.8052
865.896,97.7072,98.8199
866.378,97.6318,98.8345
866.86,97.5571,98.8493
867.342,97.483,98.8645
867.824,97.409,98.88
868.306,97.3342,98.8956
868.789,97.2578,98.911
869.271,97.1792,98.9259
869.753,97.0982,98.9401
870.235,97.0151,98.954
870.717,96.9312,98.9676
871.199,96.8478,98.9812
871.681,96.7668,98.9948
872.163,96.6897,99.0081
872.646,96.6177,99.021
873.128,96.5515,99.0333
873.61,96.4912,99.0448
874.092,96.4365,99.0558
874.574,96.3871,99.0667
875.056,96.3428,99.0774
875.538,96.3035,99.0881
876.02,96.2699,99.0986
876.503,96.2424,99.1087
876.985,96.2217,99.1181
877.467,96.208,99.127
877.949,96.2013,99.1356
878.431,96.2011,99.1442
878.913,96.207,99.153
879.395,96.2186,99.162
879.877,96.2358,99.1707
880.36,96.2589,99.1787
880.842,96.2882,99.1858
881.324,96.3239,99.1917
881.806,96.3657,99.1968
882.288,96.4126,99.2014
882.77,96.4629,99.206
883.252,96.5148,99.2107
883.734,96.5665,99.2153
884.217,96.6167,99.2198
884.699,96.6645,99.2239
885.181,96.7097,99.2276
885.663,96.752,99.2313
886.145,96.791,99.2352
886.627,96.8262,99.2398
887.109,96.8563,99.2448
887.591,96.8801,99.2502
888.073,96.8966,99.2555
888.556,96.905,99.2602
889.038,96.9049,99.2644
889.52,96.8963,99.268
890.002,96.8795,99.2713
890.484,96.8546,99.2744
890.966,96.8217,99.2773
891.448,96.7809,99.2796
891.93,96.7323,99.2809
892.413,96.6763,99.2809
892.895,96.6136,99.2796
893.377,96.5448,99.2774
893.859,96.4705,99.2748
894.341,96.3915,99.2723
894.823,96.308,99.2702
895.305,96.2205,99.2686
895.787,96.1294,99.2672
896.27,96.035,99.2659
896.752,95.9379,99.2646
897.234,95.8386,99.2633
897.716,95.7373,99.2624
898.198,95.6337,99.2621
898.68,95.5274,99.2623
899.162,95.4175,99.2629
899.644,95.3036,99.2634
900.127,95.1852,99.2636
900.609,95.0626,99.2633
901.091,94.936,99.2626
901.573,94.8062,99.2617
902.055,94.6738,99.2607
902.537,94.5392,99.2598
903.019,94.4028,99.2588
903.502,94.2652,99.2572
903.984,94.1272,99.255
904.466,93.99,99.2521
904.948,93.8551,99.2486
905.43,93.7244,99.245
905.912,93.6001,99.2415
906.394,93.484,99.2384
906.876,93.3783,99.2354
